Comment,Designator,Footprint,LCSC
50V 3.3uF,C301,1210,C1021610
CAP CER 0.1UF 100V X5R,C302 C401 C501 C502 C503,0402,C162178
CAP CER 1UF 25V X5R,C303 C304,0402,C711085
CAP CER 47UF 10V X5R,C305 C504 C505 C506 C507 C508 C509,0805,C6119904
DIODE SCHOTTKY 20V 1A,D401,SOD-123FL,C223608
MAXIBR M 03POS RA A SMT BK,J301 J501 J502 J503 J504 J505 J506,,C17355078
RES SMD 1.8K OHM 5% 100mW,R401 R402,0402,C409855
1 Digit SPST 24V 25mA DIP,SW401,"SMD,2.5x6mm",C129077
DC-DC 5V 600mA Output 3-65V Input,U301,QFN-11(3.5x4.5),C19078014
IC SWITCH DEBOUNCER,U401,SOT-143,C41637
IC LED DRVR LIN PWM 25MA,U501,SOT-788-1,C5191634
IC TRANSLTR BIDIRECTIONAL,U502,VQFN-20-EP(3.7x4.7),C90706
